5000        ;8      ;1      ;2      ;11
10000       ;15     ;3      ;4      ;22
50000       ;83     ;20     ;26     ;129
100000      ;166    ;51     ;56     ;273
150000      ;263    ;80     ;87     ;430
200000      ;340    ;112    ;149    ;601
400000      ;688    ;230    ;2659   ;3577
